Atlanta Hawks,ATL,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/11/small_logo.png
Boston Celtics,BOS,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/1/small_logo.png
Brooklyn Nets,BRK,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/2/small_logo.png
Charlotte Bobcats,CHA,http://i.imgur.com/syWGWu1.png
Charlotte Hornets,CHA,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/12/small_logo.png
Chicago Bulls,CHI,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/6/small_logo.png
Cleveland Cavaliers,CLE,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/7/small_logo.png
Dallas Mavericks,DAL,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/21/small_logo.png
Denver Nuggets,DEN,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/26/small_logo.png
Detroit Pistons,DET,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/8/small_logo.png
Golden State Warriors,GSW,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/16/small_logo.png
Houston Rockets,HOU,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/22/small_logo.png
Indiana Pacers,IND,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/9/small_logo.png
LA Clippers,LAC,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/17/small_logo.png
Los Angeles Clippers,LAC,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/17/small_logo.png
Los Angeles Lakers,LAL,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/18/small_logo.png
Memphis Grizzlies,MEM,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/23/small_logo.png
Miami Heat,MIA,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/13/small_logo.png
Milwaukee Bucks,MIL,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/10/small_logo.png
Minnesota Timberwolves,MIN,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/27/small_logo.png
New Jersey Nets,NJN,http://i.imgur.com/VU1qOfJ.png
New Orleans Hornets,NOH,http://i.imgur.com/WDpTzgw.png
New Orleans Pelicans,NOP,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/24/small_logo.png
New York Knicks,NYK,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/3/small_logo.png
Oklahoma City Thunder,OKC,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/28/small_logo.png
Orlando Magic,ORL,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/14/small_logo.png
Philadelphia 76ers,PHI,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/4/small_logo.png
Phoenix Suns,PHX,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/19/small_logo.png
Portland Trail Blazers,POR,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/29/small_logo.png
Sacramento Kings,SAC,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/20/small_logo.png
San Antonio Spurs,SAS,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/25/small_logo.png
Seattle SuperSonics,SEA,http://i.imgur.com/Xl9aDLs.png
Toronto Raptors,TOR,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/5/small_logo.png
Utah Jazz,UTA,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/30/small_logo.png
Vancouver Grizzlies,VAN,http://i.imgur.com/r2PuLzY.png
Washington Bullets,WSB,http://i.imgur.com/gZhDI4F.png
Washington Wizards,WAS,https://d1si3tbndbzwz9.cloudfront.net/basketball/team/15/small_logo.png
