Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Tony Battie,Pre,1499,201011,2,4,7,8,57.1,118.8,1.3,0.6,3.2,1.6,157.1,1,84,69,37,100
Tim Thomas,Pre,1501,200506,2,6,16,12,37.5,79.9,-3.0,-1.5,-0.2,-0.1,81.2,56,13,11,13,19
Tim Thomas,Pre,1501,200607,4,14,48,34,35.4,73.7,-12.2,-3.0,-5.2,-1.3,71.4,91,10,2,4,7
Tim Thomas,Pre,1501,200708,4,19,44,45,51.1,108.0,3.3,0.8,13.7,3.4,105.1,86,64,71,81,56
Tim Thomas,Pre,1501,200809,1,4,10,8,40.0,83.4,-1.6,-1.6,-0.1,-0.1,88.3,80,18,9,17,25
Adonal Foyle,Pre,1502,200506,2,3,7,6,42.9,91.3,-0.6,-0.3,0.7,0.3,72.4,0,30,39,23,8
Adonal Foyle,Pre,1502,200607,3,2,4,4,50.0,104.0,0.2,0.1,0.7,0.2,109.9,0,59,54,27,72
Adonal Foyle,Pre,1502,200708,7,20,34,40,58.8,124.2,7.8,1.1,15.8,2.3,128.1,6,88,77,62,91
Adonal Foyle,Pre,1502,200809,2,3,6,6,50.0,104.3,0.2,0.1,1.1,0.6,108.7,0,59,54,33,71
Tracy McGrady,Pre,1503,200506,5,23,54,52,48.2,102.5,1.3,0.3,10.8,2.2,103.6,85,54,57,70,56
Tracy McGrady,Pre,1503,200607,6,29,71,63,44.4,92.3,-5.3,-0.9,5.1,0.8,105.1,90,35,28,47,64
Tracy McGrady,Pre,1503,200708,4,18,40,38,47.5,100.3,0.1,0.0,9.6,2.4,112.1,78,51,52,64,74
Tracy McGrady,Pre,1503,200809,2,8,18,16,44.4,92.7,-1.3,-0.6,1.4,0.7,109.5,71,32,29,37,72
Tracy McGrady,Pre,1503,201112,2,0,5,0,0.0,0.0,-4.6,-2.3,-3.5,-1.8,0.0,100,100,100,100,100
Danny Fortson,Pre,1504,200506,3,1,6,2,16.7,35.5,-3.6,-1.2,-2.6,-0.9,44.1,0,0,16,4,0
Danny Fortson,Pre,1504,200607,2,2,3,4,66.7,138.7,1.1,0.6,1.6,0.8,109.1,0,99,70,43,70
Austin Croshere,Pre,1506,200506,8,21,42,45,53.6,114.1,5.6,0.7,12.9,1.6,119.2,10,79,69,55,86
Austin Croshere,Pre,1506,200607,8,16,56,37,33.0,68.7,-16.8,-2.1,-8.7,-1.1,65.9,41,6,5,4,4
Austin Croshere,Pre,1506,200708,5,15,41,33,40.2,85.0,-5.8,-1.2,3.9,0.8,86.2,56,20,18,23,21
Austin Croshere,Pre,1506,200809,6,8,24,21,43.8,91.2,-2.0,-0.3,1.5,0.2,91.1,2,29,36,24,29
Derek Anderson,Pre,1507,200506,7,19,38,42,55.3,117.7,6.3,0.9,13.0,1.9,127.6,14,84,76,62,94
Derek Anderson,Pre,1507,200708,3,2,9,6,33.3,70.4,-2.5,-0.8,-0.4,-0.1,63.8,0,5,26,6,2
Maurice Taylor,Pre,1508,200506,4,9,16,18,56.3,119.8,3.0,0.7,5.8,1.4,124.5,2,87,73,51,91
Maurice Taylor,Pre,1508,200607,4,3,11,6,27.3,56.7,-4.6,-1.1,-3.0,-0.7,64.0,0,2,19,7,4
Kelvin Cato,Pre,1509,200506,2,3,6,6,50.0,106.5,0.4,0.2,1.4,0.7,119.0,0,60,56,31,86
Kelvin Cato,Pre,1509,200607,1,2,4,4,50.0,104.0,0.2,0.2,0.7,0.7,81.8,2,59,57,41,18
Brevin Knight,Pre,1510,200506,6,24,50,48,48.0,102.2,1.0,0.2,9.8,1.6,117.0,61,53,55,57,80
Brevin Knight,Pre,1510,200607,3,11,18,22,61.1,127.1,4.7,1.6,7.3,2.4,144.2,25,95,88,81,99
Brevin Knight,Pre,1510,200708,6,9,23,18,39.1,82.6,-3.8,-0.6,1.7,0.3,101.8,0,16,32,12,52
Brevin Knight,Pre,1510,200809,4,5,9,10,55.6,115.8,1.4,0.3,2.7,0.7,146.7,0,82,62,36,100
Scot Pollard,Pre,1513,200506,2,5,5,10,100.0,212.9,5.3,2.7,6.2,3.1,211.0,0,100,97,86,100
Scot Pollard,Pre,1513,200607,4,5,12,10,41.7,86.7,-1.5,-0.4,0.2,0.1,88.9,0,24,40,24,29
Anthony Parker,Pre,1515,200607,6,15,39,31,39.7,82.7,-6.5,-1.1,-0.8,-0.1,85.4,32,18,20,18,22
Anthony Parker,Pre,1515,200708,6,9,24,21,43.8,92.4,-1.7,-0.3,3.9,0.7,87.5,0,33,42,19,24
Anthony Parker,Pre,1515,200809,7,20,43,47,54.7,113.9,5.8,0.8,12.0,1.7,119.1,24,78,72,66,85
Anthony Parker,Pre,1515,200910,8,26,46,58,63.0,129.7,13.3,1.7,21.8,2.7,139.0,26,94,90,82,96
Anthony Parker,Pre,1515,201011,7,19,47,43,45.7,95.1,-2.2,-0.3,10.5,1.5,106.1,39,38,39,34,63
Anthony Parker,Pre,1515,201112,2,6,10,17,85.0,183.7,7.7,3.9,9.9,5.0,189.9,100,100,100,100,100
Bobby Jackson,Pre,1517,200506,4,13,25,32,64.0,136.3,8.5,2.1,12.9,3.2,126.1,29,97,94,87,92
Bobby Jackson,Pre,1517,200607,5,18,47,38,40.4,84.1,-7.2,-1.4,-0.3,-0.1,80.5,70,20,13,20,16
Bobby Jackson,Pre,1517,200708,6,23,51,54,52.9,111.8,5.7,1.0,17.7,3.0,112.2,62,71,74,75,74
Bobby Jackson,Pre,1517,200809,7,14,43,30,34.9,72.7,-11.2,-1.6,-5.0,-0.7,77.6,24,7,9,8,12
John Thomas,Pre,1519,200506,2,1,5,2,20.0,42.6,-2.7,-1.3,-1.8,-0.9,33.8,0,0,13,4,0
Charles Smith,Pre,1520,200506,4,7,26,19,36.5,77.8,-5.4,-1.4,-0.8,-0.2,79.9,32,12,13,13,15
Jacque Vaughn,Pre,1521,200506,6,10,17,20,58.8,125.3,4.0,0.7,7.0,1.2,128.8,0,93,69,44,95
Jacque Vaughn,Pre,1521,200607,5,11,22,23,52.3,108.7,1.8,0.4,5.0,1.0,107.3,4,72,64,50,68
Jacque Vaughn,Pre,1521,200809,6,5,16,10,31.3,65.2,-5.3,-0.9,-3.0,-0.5,70.8,0,4,23,10,6
Marc Jackson,Pre,1531,200506,6,25,51,51,50.0,106.5,3.1,0.5,12.1,2.0,99.7,63,60,64,66,47
Anthony Johnson,Pre,1533,200506,7,12,28,25,44.6,95.1,-1.3,-0.2,3.6,0.5,109.7,2,37,41,28,67
Anthony Johnson,Pre,1533,200607,7,8,31,16,25.8,53.7,-13.8,-2.0,-9.3,-1.3,61.7,4,1,6,3,3
Anthony Johnson,Pre,1533,200708,6,14,42,30,35.7,75.4,-9.8,-1.6,0.1,0.0,83.8,35,8,9,8,18
Anthony Johnson,Pre,1533,200809,5,8,22,16,36.4,75.8,-5.1,-1.0,-1.9,-0.4,87.2,4,9,19,12,23
Anthony Johnson,Pre,1533,200910,3,2,8,4,25.0,51.4,-3.8,-1.3,-2.3,-0.8,54.2,0,1,13,3,2
Stephen Jackson,Pre,1536,200506,8,30,67,68,50.8,108.1,5.1,0.6,16.9,2.1,108.6,61,66,68,69,64
Stephen Jackson,Pre,1536,200607,6,28,66,63,47.7,99.3,-0.5,-0.1,9.1,1.5,93.3,86,50,48,63,37
Stephen Jackson,Pre,1536,200708,5,16,41,35,42.7,90.1,-3.8,-0.8,5.9,1.2,90.3,56,30,29,33,29
Stephen Jackson,Pre,1536,200809,5,28,54,69,63.9,133.2,17.2,3.4,25.1,5.0,127.3,87,97,100,100,93
Stephen Jackson,Pre,1536,200910,5,15,48,39,40.6,83.6,-7.7,-1.5,1.3,0.3,81.9,74,14,9,14,13
Stephen Jackson,Pre,1536,201011,8,29,69,64,46.4,96.4,-2.4,-0.3,16.2,2.0,87.8,65,41,40,49,22
Stephen Jackson,Pre,1536,201112,1,2,7,6,42.9,92.6,-0.5,-0.5,1.0,1.0,94.7,100,100,100,100,100
Stephen Jackson,Pre,1536,201213,6,17,31,42,67.7,141.8,12.4,2.1,19.2,3.2,137.0,13,98,94,81,97
Alvin Williams,Pre,1541,200506,3,1,5,2,20.0,42.6,-2.7,-0.9,-1.8,-0.6,52.9,0,0,24,7,1
Mark Blount,Pre,1548,200506,8,38,58,76,65.5,139.5,21.5,2.7,31.7,4.0,149.4,44,99,97,94,100
