Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
San Antonio Spurs,Pre,1610612759,200708,6,218,477,479,50.2,106.0,27.3,4.5,140.0,23.3,106.7,57,80,80,84,83
San Antonio Spurs,Pre,1610612759,200809,7,237,537,529,49.3,102.7,14.0,2.0,92.0,13.1,103.7,42,59,59,59,66
San Antonio Spurs,Pre,1610612759,200910,7,256,542,556,51.3,105.5,29.1,4.2,129.9,18.6,107.5,45,87,90,90,94
San Antonio Spurs,Pre,1610612759,201011,7,254,603,550,45.6,94.8,-30.0,-4.3,132.5,18.9,94.6,97,17,17,40,10
San Antonio Spurs,Pre,1610612759,201112,2,64,150,138,46.0,99.4,-0.8,-0.4,31.6,15.8,97.9,100,100,100,100,100
San Antonio Spurs,Pre,1610612759,201213,7,266,558,577,51.7,108.2,43.7,6.2,166.8,23.8,105.2,39,90,94,87,76
San Antonio Spurs,Pre,1610612759,201314,7,262,578,581,50.3,106.1,33.3,4.8,100.2,14.3,105.7,70,80,81,84,80
San Antonio Spurs,Pre,1610612759,201415,7,234,508,514,50.6,103.5,17.2,2.5,78.5,11.2,103.6,4,78,75,71,88
San Antonio Spurs,Pre,1610612759,201516,6,204,473,449,47.5,99.1,-4.0,-0.7,97.2,16.2,101.3,19,38,38,35,67
San Antonio Spurs,Pre,1610612759,201617,6,216,495,481,48.6,98.5,-7.2,-1.2,67.5,11.3,101.1,32,38,38,42,55
San Antonio Spurs,Pre,1610612759,201718,5,228,453,512,56.5,111.4,52.4,10.5,151.9,30.4,114.8,90,97,97,97,100
San Antonio Spurs,Pre,1610612759,201819,5,199,426,437,51.3,102.3,9.9,2.0,197.0,39.4,112.7,25,56,56,56,94
Seattle SuperSonics,Pre,1610612760,200506,6,193,455,417,45.8,97.6,-10.4,-1.7,69.6,11.6,98.7,53,18,18,18,42
Seattle SuperSonics,Pre,1610612760,200607,6,213,471,454,48.2,100.2,1.1,0.2,69.7,11.6,102.5,63,49,49,52,73
Seattle SuperSonics,Pre,1610612760,200708,7,273,610,572,46.9,99.0,-5.6,-0.8,138.5,19.8,101.2,94,54,50,64,63
Seattle SuperSonics,Pre,1610612760,200809,5,160,396,334,42.2,87.9,-45.9,-9.2,11.7,2.3,91.4,73,4,4,4,11
Oklahoma City Thunder,Pre,1610612760,200910,7,236,533,501,47.0,96.7,-17.2,-2.5,82.0,11.7,98.9,29,32,32,32,42
Oklahoma City Thunder,Pre,1610612760,201011,7,242,536,533,49.7,103.4,17.4,2.5,161.9,23.1,101.4,44,77,77,67,60
Oklahoma City Thunder,Pre,1610612760,201112,2,68,141,152,53.9,116.5,21.5,10.8,52.0,26.0,119.3,100,100,100,100,100
Oklahoma City Thunder,Pre,1610612760,201213,7,271,583,596,51.1,107.0,38.8,5.5,167.4,23.9,105.0,73,83,83,90,75
Oklahoma City Thunder,Pre,1610612760,201314,7,242,549,519,47.3,99.8,-1.2,-0.2,62.4,8.9,99.3,38,60,60,60,47
Oklahoma City Thunder,Pre,1610612760,201415,7,245,576,537,46.6,95.3,-26.4,-3.8,43.2,6.2,95.1,84,20,13,20,12
Oklahoma City Thunder,Pre,1610612760,201516,6,243,490,541,55.2,115.3,71.7,12.0,176.6,29.4,114.0,42,100,100,100,99
Oklahoma City Thunder,Pre,1610612760,201617,6,239,505,532,52.7,106.8,33.8,5.6,110.1,18.3,105.1,55,87,87,87,83
Oklahoma City Thunder,Pre,1610612760,201718,4,157,383,363,47.4,93.4,-25.6,-6.4,58.6,14.6,89.1,97,10,7,20,4
Oklahoma City Thunder,Pre,1610612760,201819,4,152,376,343,45.6,91.0,-34.0,-8.5,131.1,32.8,88.6,94,7,7,11,4
Toronto Raptors,Pre,1610612761,200506,5,172,395,367,46.5,98.9,-4.0,-0.8,65.5,13.1,98.0,73,35,32,45,39
Toronto Raptors,Pre,1610612761,200607,6,204,499,456,45.7,95.0,-23.9,-4.0,48.8,8.1,97.0,90,18,11,18,27
Toronto Raptors,Pre,1610612761,200708,6,210,475,464,48.8,103.1,14.2,2.4,126.4,21.1,104.0,50,70,70,74,77
Toronto Raptors,Pre,1610612761,200809,7,229,532,499,46.9,97.8,-11.3,-1.6,66.1,9.4,101.0,35,32,32,28,56
Toronto Raptors,Pre,1610612761,200910,8,280,635,589,46.4,95.4,-28.3,-3.5,89.8,11.2,96.7,69,25,18,25,31
Toronto Raptors,Pre,1610612761,201011,8,321,697,685,49.1,102.2,14.5,1.8,202.4,25.3,103.5,100,60,67,87,78
Toronto Raptors,Pre,1610612761,201112,2,52,147,112,38.1,82.3,-24.0,-12.0,7.7,3.9,76.9,100,100,100,100,100
Toronto Raptors,Pre,1610612761,201213,7,260,573,579,50.5,105.7,31.4,4.5,157.8,22.5,107.1,59,80,80,80,92
Toronto Raptors,Pre,1610612761,201314,7,245,530,537,50.7,106.9,34.8,5.0,96.1,13.7,102.0,14,84,84,80,60
Toronto Raptors,Pre,1610612761,201415,8,278,606,610,50.3,102.9,17.3,2.2,90.5,11.3,101.7,16,71,71,75,80
Toronto Raptors,Pre,1610612761,201516,7,233,557,514,46.1,96.4,-19.4,-2.8,99.8,14.3,97.2,27,18,18,18,28
Toronto Raptors,Pre,1610612761,201617,7,269,578,591,51.1,103.6,20.8,3.0,108.1,15.4,103.7,34,76,76,76,75
Toronto Raptors,Pre,1610612761,201718,5,188,407,438,53.8,106.1,25.1,5.0,114.5,22.9,100.6,14,84,84,80,48
Toronto Raptors,Pre,1610612761,201819,5,201,447,461,51.6,102.9,12.9,2.6,209.2,41.8,100.5,56,63,63,63,53
Utah Jazz,Pre,1610612762,200506,5,161,373,342,45.8,97.6,-8.4,-1.7,57.2,11.4,98.6,45,21,21,14,41
Utah Jazz,Pre,1610612762,200607,8,293,644,617,47.9,99.6,-2.3,-0.3,91.4,11.4,98.6,73,42,42,45,37
Utah Jazz,Pre,1610612762,200708,7,249,572,522,45.6,96.4,-19.7,-2.8,115.4,16.5,96.1,71,27,31,34,31
Utah Jazz,Pre,1610612762,200809,7,244,528,516,48.9,101.9,9.5,1.4,86.3,12.3,98.6,15,49,49,45,34
Utah Jazz,Pre,1610612762,200910,8,289,594,610,51.4,105.6,32.6,4.1,143.0,17.9,102.7,11,90,87,83,69
Utah Jazz,Pre,1610612762,201011,8,280,590,594,50.3,104.7,26.4,3.3,185.5,23.2,103.4,10,80,80,70,78
Utah Jazz,Pre,1610612762,201112,2,63,152,132,43.4,93.8,-8.7,-4.3,24.2,12.1,92.3,100,100,100,100,100
Utah Jazz,Pre,1610612762,201213,8,288,642,621,48.4,101.2,7.4,0.9,149.1,18.6,102.2,48,56,56,56,66
Utah Jazz,Pre,1610612762,201314,8,274,673,600,44.6,94.1,-37.7,-4.7,40.2,5.0,94.1,84,14,14,17,13
Utah Jazz,Pre,1610612762,201415,8,291,621,644,51.9,106.0,36.6,4.6,111.7,14.0,101.8,30,97,94,91,81
Utah Jazz,Pre,1610612762,201516,7,237,552,519,47.0,98.2,-9.6,-1.4,108.5,15.5,96.0,20,28,28,28,22
Utah Jazz,Pre,1610612762,201617,6,201,447,439,49.1,99.6,-1.9,-0.3,65.6,10.9,98.8,0,52,52,32,37
Utah Jazz,Pre,1610612762,201718,5,214,425,479,56.4,111.1,47.8,9.6,141.2,28.2,109.3,47,94,94,94,93
Utah Jazz,Pre,1610612762,201819,5,228,448,533,59.5,118.7,83.9,16.8,280.6,56.1,113.3,63,100,100,100,96
Memphis Grizzlies,Pre,1610612763,200506,7,209,490,467,47.7,101.5,6.8,1.0,92.9,13.3,99.0,7,66,63,52,48
Memphis Grizzlies,Pre,1610612763,200607,8,244,564,512,45.4,94.4,-30.3,-3.8,51.8,6.5,94.5,7,14,18,11,10
Memphis Grizzlies,Pre,1610612763,200708,7,252,571,562,49.2,103.9,21.2,3.0,156.1,22.3,99.9,67,77,77,77,50
Memphis Grizzlies,Pre,1610612763,200809,8,262,627,565,45.1,94.0,-36.4,-4.5,54.8,6.9,93.3,58,18,18,18,14
Memphis Grizzlies,Pre,1610612763,200910,8,284,629,603,47.9,98.6,-8.6,-1.1,108.4,13.6,96.3,66,42,45,38,28
