Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,ShotSkill Percentile
Oklahoma City Thunder,Post,1610612760,201314,19,694,1544,1530,49.6,98.2,-28.1,-1.5,98.0,60,47,47,47
Oklahoma City Thunder,Post,1610612760,201516,18,688,1521,1525,50.1,101.3,19.8,1.1,100.8,67,74,74,60
Oklahoma City Thunder,Post,1610612760,201617,5,193,437,428,49.0,93.6,-29.1,-5.8,92.7,87,14,14,7
Oklahoma City Thunder,Post,1610612760,201718,6,223,519,509,49.0,94.7,-28.4,-4.7,95.0,80,7,7,15
Seattle SuperSonics,Post,1610612760,199697,12,441,994,982,49.4,101.9,18.7,1.6,100.7,94,80,80,72
Seattle SuperSonics,Post,1610612760,199798,10,356,783,778,49.7,103.2,24.1,2.4,99.2,74,87,87,45
Seattle SuperSonics,Post,1610612760,199900,5,174,398,383,48.1,102.6,9.6,1.9,99.0,67,87,87,53
Seattle SuperSonics,Post,1610612760,200102,5,171,398,366,46.0,98.7,-4.7,-0.9,101.0,54,54,54,66
Seattle SuperSonics,Post,1610612760,200405,11,390,852,833,48.9,100.3,2.9,0.3,101.5,34,60,61,67
Toronto Raptors,Post,1610612761,199900,3,83,222,179,40.3,85.9,-29.3,-9.8,88.6,27,7,7,7
Toronto Raptors,Post,1610612761,200001,12,423,954,917,48.1,104.1,36.4,3.0,106.1,40,87,80,80
Toronto Raptors,Post,1610612761,200102,5,163,386,343,44.4,95.4,-16.5,-3.3,98.1,27,20,21,39
Toronto Raptors,Post,1610612761,200607,6,195,441,422,47.9,99.0,-4.4,-0.7,105.1,20,47,54,90
Toronto Raptors,Post,1610612761,200708,5,186,428,414,48.4,100.0,-0.2,0.0,100.1,94,54,54,53
Toronto Raptors,Post,1610612761,201314,7,229,519,504,48.6,96.2,-19.8,-2.8,96.4,8,34,34,41
Toronto Raptors,Post,1610612761,201415,4,147,353,324,45.9,94.2,-20.1,-5.0,96.2,90,27,27,28
Toronto Raptors,Post,1610612761,201516,20,685,1628,1507,46.3,93.5,-104.2,-5.2,95.1,40,27,27,27
Toronto Raptors,Post,1610612761,201617,10,352,794,781,49.2,94.0,-49.5,-5.0,95.0,27,20,27,33
Toronto Raptors,Post,1610612761,201718,10,389,823,882,53.6,103.5,29.6,3.0,103.6,20,80,80,75
Utah Jazz,Post,1610612762,199697,20,673,1490,1445,48.5,100.1,0.9,0.0,99.8,47,54,54,57
Utah Jazz,Post,1610612762,199798,20,667,1467,1400,47.7,99.1,-12.3,-0.6,99.8,40,40,40,55
Utah Jazz,Post,1610612762,199899,11,356,825,744,45.1,99.1,-6.4,-0.6,97.7,47,54,47,34
Utah Jazz,Post,1610612762,199900,10,331,746,708,47.5,101.1,7.9,0.8,102.0,34,67,67,72
Utah Jazz,Post,1610612762,200001,5,165,389,348,44.7,96.9,-11.0,-2.2,90.2,27,47,40,0
Utah Jazz,Post,1610612762,200102,4,132,318,278,43.7,93.9,-18.2,-4.5,94.7,47,7,7,7
Utah Jazz,Post,1610612762,200203,5,169,389,347,44.6,94.1,-21.8,-4.4,97.9,40,14,14,35
Utah Jazz,Post,1610612762,200607,17,619,1350,1311,48.6,100.4,5.7,0.3,102.2,67,67,67,72
Utah Jazz,Post,1610612762,200708,12,437,982,944,48.1,99.4,-6.1,-0.5,96.8,81,47,47,46
Utah Jazz,Post,1610612762,200809,5,175,404,375,46.4,93.6,-25.6,-5.1,93.1,87,20,20,21
Utah Jazz,Post,1610612762,200910,10,381,795,827,52.0,104.9,39.0,3.9,103.1,74,87,87,86
Utah Jazz,Post,1610612762,201112,4,131,343,271,39.5,83.0,-55.4,-13.8,86.7,94,0,1,0
Utah Jazz,Post,1610612762,201617,11,390,856,882,51.5,98.5,-13.4,-1.2,98.7,14,67,67,47
Utah Jazz,Post,1610612762,201718,11,415,912,948,52.0,100.4,3.5,0.3,95.0,41,67,67,14
Memphis Grizzlies,Post,1610612763,200304,4,123,290,261,45.0,99.2,-2.1,-0.5,97.8,7,54,54,53
Memphis Grizzlies,Post,1610612763,200405,4,166,351,363,51.7,106.2,21.1,5.3,106.0,100,87,87,87
Memphis Grizzlies,Post,1610612763,200506,4,120,266,255,47.9,96.2,-9.9,-2.5,95.5,0,27,34,21
Memphis Grizzlies,Post,1610612763,201011,13,477,1092,1004,46.0,96.1,-40.4,-3.1,96.8,100,27,27,32
Memphis Grizzlies,Post,1610612763,201112,7,228,534,480,44.9,94.5,-28.1,-4.0,96.8,20,27,27,61
Memphis Grizzlies,Post,1610612763,201213,15,511,1223,1094,44.7,92.1,-94.2,-6.3,93.4,69,0,1,1
Memphis Grizzlies,Post,1610612763,201314,7,257,617,545,44.2,87.5,-77.6,-11.1,88.5,94,0,1,7
Memphis Grizzlies,Post,1610612763,201415,11,393,925,834,45.1,92.5,-67.7,-6.2,99.0,40,7,7,49
Memphis Grizzlies,Post,1610612763,201516,4,128,325,275,42.3,85.5,-46.6,-11.7,87.2,30,0,1,10
Memphis Grizzlies,Post,1610612763,201617,6,208,463,472,51.0,97.5,-12.3,-2.1,99.2,7,47,47,74
Washington Bullets,Post,1610612764,199697,3,102,215,217,50.5,104.1,8.6,2.9,104.7,7,94,94,94
Washington Wizards,Post,1610612764,200405,10,351,826,758,45.9,94.2,-46.8,-4.7,94.6,60,20,21,21
Washington Wizards,Post,1610612764,200506,6,212,472,461,48.8,98.1,-9.2,-1.5,97.3,60,47,47,35
Washington Wizards,Post,1610612764,200607,4,137,332,299,45.0,93.1,-22.0,-5.5,92.6,94,0,0,8
Washington Wizards,Post,1610612764,200708,6,192,451,420,46.6,96.2,-16.4,-2.7,94.9,32,40,41,35
Washington Wizards,Post,1610612764,201314,11,379,877,820,46.8,92.6,-65.1,-5.9,94.0,47,20,21,26
Washington Wizards,Post,1610612764,201415,10,373,845,840,49.7,102.0,16.2,1.6,101.2,60,74,74,60
Washington Wizards,Post,1610612764,201617,13,521,1139,1151,50.5,96.6,-40.3,-3.1,98.7,94,40,41,47
Washington Wizards,Post,1610612764,201718,6,238,511,524,51.3,99.0,-5.2,-0.9,103.5,60,47,47,74
Detroit Pistons,Post,1610612765,199697,5,162,374,352,47.1,97.1,-10.5,-2.1,98.7,54,20,20,47
Detroit Pistons,Post,1610612765,199899,5,161,375,339,45.2,99.4,-2.1,-0.4,103.3,47,60,60,80
Detroit Pistons,Post,1610612765,199900,3,84,208,181,43.5,92.7,-14.2,-4.7,89.1,1,14,20,13
Detroit Pistons,Post,1610612765,200102,10,294,736,668,45.4,97.4,-17.5,-1.8,94.9,0,40,41,7
Detroit Pistons,Post,1610612765,200203,17,514,1255,1142,45.5,96.0,-47.7,-2.8,96.7,7,27,27,24
Detroit Pistons,Post,1610612765,200304,23,722,1754,1541,43.9,96.8,-50.5,-2.2,95.6,51,27,27,22
Detroit Pistons,Post,1610612765,200405,25,863,1974,1839,46.6,95.6,-84.1,-3.4,97.5,46,27,27,40
Detroit Pistons,Post,1610612765,200506,18,578,1338,1280,47.8,96.0,-52.7,-2.9,98.7,27,20,20,46
Detroit Pistons,Post,1610612765,200607,16,523,1216,1139,46.8,96.9,-37.0,-2.3,100.8,40,34,34,62
Detroit Pistons,Post,1610612765,200708,17,576,1266,1229,48.5,100.3,4.1,0.2,105.7,13,60,61,100
Detroit Pistons,Post,1610612765,200809,4,126,308,264,42.9,86.4,-41.4,-10.3,91.1,67,0,0,13
Detroit Pistons,Post,1610612765,201516,4,144,301,323,53.7,108.4,25.1,6.3,107.3,6,94,94,100
Charlotte Bobcats,Post,1610612766,200910,4,125,282,269,47.7,96.2,-10.5,-2.6,95.3,0,40,40,27
Charlotte Bobcats,Post,1610612766,201314,4,135,301,301,50.0,99.1,-2.8,-0.7,100.5,25,54,60,61
Charlotte Hornets,Post,1610612766,199697,3,109,241,237,49.2,101.5,3.4,1.1,100.3,81,74,74,68
Charlotte Hornets,Post,1610612766,199798,9,298,656,628,47.9,99.4,-3.5,-0.4,101.9,27,47,47,72
Charlotte Hornets,Post,1610612766,199900,4,129,300,276,46.0,98.0,-5.5,-1.4,96.2,40,47,47,48
Charlotte Hornets,Post,1610612766,200001,10,339,781,722,46.2,100.2,1.1,0.1,98.4,34,60,61,46
Charlotte Hornets,Post,1610612766,200102,9,307,729,654,44.9,96.3,-24.9,-2.8,96.0,67,27,27,19
Charlotte Hornets,Post,1610612766,200910,4,125,282,269,47.7,96.2,-10.5,-2.6,95.3,0,40,40,27
Charlotte Hornets,Post,1610612766,201314,4,135,301,301,50.0,99.1,-2.8,-0.7,100.5,25,54,60,61
Charlotte Hornets,Post,1610612766,201516,7,223,563,486,43.2,87.2,-71.2,-10.2,88.6,16,14,21,21
