Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,ShotSkill Percentile
Miami Heat,Post,1610612748,201213,23,824,1762,1825,51.8,106.6,113.1,4.9,104.6,21,100,100,87
Miami Heat,Post,1610612748,201314,20,708,1443,1602,55.5,110.0,145.7,7.3,107.5,0,100,100,94
Miami Heat,Post,1610612748,201516,14,516,1127,1128,50.0,101.1,12.6,0.9,103.4,20,67,67,73
Miami Heat,Post,1610612748,201718,5,183,414,420,50.7,98.0,-8.8,-1.8,99.3,34,27,27,61
Milwaukee Bucks,Post,1610612749,199899,3,102,225,218,48.4,106.5,13.3,4.4,109.3,47,94,94,100
Milwaukee Bucks,Post,1610612749,199900,5,189,413,396,47.9,102.2,8.4,1.7,107.6,100,74,74,97
Milwaukee Bucks,Post,1610612749,200001,18,630,1450,1381,47.6,103.2,42.6,2.4,106.2,54,74,74,80
Milwaukee Bucks,Post,1610612749,200203,6,219,477,476,49.9,105.3,23.9,4.0,106.3,60,87,80,94
Milwaukee Bucks,Post,1610612749,200304,5,162,389,348,44.7,98.6,-5.0,-1.0,98.0,74,40,40,56
Milwaukee Bucks,Post,1610612749,200506,5,189,401,404,50.4,101.1,4.6,0.9,102.3,74,74,74,72
Milwaukee Bucks,Post,1610612749,200910,7,236,556,518,46.6,94.0,-33.1,-4.7,92.2,69,20,20,8
Milwaukee Bucks,Post,1610612749,201213,4,133,307,290,47.2,97.2,-8.3,-2.1,95.7,25,34,34,27
Milwaukee Bucks,Post,1610612749,201415,6,205,529,443,41.9,85.9,-72.7,-12.1,89.2,87,0,0,1
Milwaukee Bucks,Post,1610612749,201617,6,209,470,472,50.2,96.0,-19.6,-3.3,95.2,21,34,34,36
Milwaukee Bucks,Post,1610612749,201718,7,274,548,615,56.1,108.4,47.5,6.8,110.2,0,100,100,100
Minnesota Timberwolves,Post,1610612750,199697,3,120,266,259,48.7,100.5,1.2,0.4,102.0,100,67,67,82
Minnesota Timberwolves,Post,1610612750,199798,5,166,399,369,46.2,96.1,-15.2,-3.0,97.2,94,20,20,18
Minnesota Timberwolves,Post,1610612750,199899,4,128,323,266,41.2,90.5,-27.8,-6.9,95.6,84,0,0,18
Minnesota Timberwolves,Post,1610612750,199900,4,137,306,286,46.7,99.6,-1.2,-0.3,107.0,54,60,60,94
Minnesota Timberwolves,Post,1610612750,200001,4,123,318,258,40.6,87.9,-35.5,-8.9,93.5,40,7,7,22
Minnesota Timberwolves,Post,1610612750,200102,3,108,243,231,47.5,102.1,4.7,1.6,105.2,67,74,74,88
Minnesota Timberwolves,Post,1610612750,200203,6,225,486,478,49.2,103.8,17.3,2.9,110.8,74,74,74,100
Minnesota Timberwolves,Post,1610612750,200304,18,611,1387,1328,47.9,105.5,69.4,3.9,110.4,67,94,94,100
Minnesota Timberwolves,Post,1610612750,201718,5,190,413,425,51.5,99.4,-2.7,-0.5,98.6,27,54,61,48
Brooklyn Nets,Post,1610612751,201314,12,417,901,927,51.4,101.9,17.7,1.5,102.6,20,74,74,80
Brooklyn Nets,Post,1610612751,201415,6,217,499,485,48.6,99.7,-1.4,-0.2,102.1,13,54,54,64
New Jersey Nets,Post,1610612751,199798,3,111,236,229,48.5,100.8,1.8,0.6,99.2,80,60,60,46
New Jersey Nets,Post,1610612751,200102,20,717,1658,1517,45.8,98.2,-27.2,-1.4,98.9,94,47,47,61
New Jersey Nets,Post,1610612751,200203,20,684,1611,1461,45.3,95.7,-66.4,-3.3,94.8,67,20,21,13
New Jersey Nets,Post,1610612751,200304,11,339,801,727,45.4,100.0,0.2,0.0,96.2,14,67,67,31
New Jersey Nets,Post,1610612751,200405,4,134,339,293,43.2,88.7,-37.2,-9.3,89.3,77,7,1,8
New Jersey Nets,Post,1610612751,200506,11,377,834,813,48.7,97.9,-17.7,-1.6,97.8,34,40,40,39
New Jersey Nets,Post,1610612751,200607,12,391,880,874,49.7,102.7,23.1,1.9,99.6,15,80,81,48
New Jersey Nets,Post,1610612751,201213,7,259,586,561,47.9,98.5,-8.3,-1.2,98.1,87,54,54,59
New York Knicks,Post,1610612752,199697,10,343,735,741,50.4,104.0,28.7,2.9,104.4,40,87,87,93
New York Knicks,Post,1610612752,199798,10,322,738,697,47.2,98.1,-13.6,-1.4,97.9,47,27,34,28
New York Knicks,Post,1610612752,199899,20,637,1485,1338,45.1,99.1,-12.8,-0.6,101.0,30,40,41,62
New York Knicks,Post,1610612752,199900,16,499,1158,1070,46.2,98.5,-16.7,-1.0,100.6,7,54,54,68
New York Knicks,Post,1610612752,200001,5,167,357,354,49.6,107.4,24.5,4.9,107.7,0,94,94,99
New York Knicks,Post,1610612752,200304,4,123,320,263,41.1,90.6,-27.4,-6.8,91.0,80,0,0,0
New York Knicks,Post,1610612752,201011,4,128,332,289,43.5,91.0,-28.6,-7.1,86.7,94,0,0,0
New York Knicks,Post,1610612752,201112,5,153,367,331,45.1,94.8,-18.1,-3.6,94.1,0,34,34,27
New York Knicks,Post,1610612752,201213,12,399,972,894,46.0,94.7,-50.3,-4.2,95.6,54,7,7,20
Orlando Magic,Post,1610612753,199697,5,149,365,327,44.8,92.4,-26.8,-5.4,91.8,27,0,0,0
Orlando Magic,Post,1610612753,199899,4,111,295,249,42.2,92.8,-19.4,-4.8,89.1,20,14,14,2
Orlando Magic,Post,1610612753,200001,4,156,359,344,47.9,103.8,12.6,3.2,99.5,99,80,87,68
Orlando Magic,Post,1610612753,200102,4,133,314,283,45.1,96.8,-9.5,-2.4,97.1,40,34,34,30
Orlando Magic,Post,1610612753,200203,7,217,512,470,45.9,96.8,-15.4,-2.2,97.6,1,34,34,33
Orlando Magic,Post,1610612753,200607,4,138,289,286,49.5,102.3,6.5,1.6,101.3,0,74,74,65
Orlando Magic,Post,1610612753,200708,10,354,754,798,52.9,109.4,68.5,6.8,103.9,40,100,100,88
Orlando Magic,Post,1610612753,200809,24,828,1810,1857,51.3,103.5,62.3,2.6,101.4,41,87,87,68
Orlando Magic,Post,1610612753,200910,14,459,991,1056,53.3,107.5,73.7,5.3,105.3,7,94,94,94
Orlando Magic,Post,1610612753,201011,6,186,455,409,45.0,94.0,-26.1,-4.4,90.7,34,14,14,8
Orlando Magic,Post,1610612753,201112,5,155,389,352,45.2,95.1,-18.1,-3.6,95.3,34,40,41,44
Indiana Pacers,Post,1610612754,199798,16,512,1113,1111,49.9,103.7,39.4,2.5,104.8,7,94,94,100
Indiana Pacers,Post,1610612754,199899,13,426,965,937,48.6,106.8,59.3,4.6,106.6,29,100,100,95
Indiana Pacers,Post,1610612754,199900,23,804,1814,1772,48.8,104.1,69.7,3.0,104.4,60,94,94,81
Indiana Pacers,Post,1610612754,200001,4,131,329,287,43.6,94.5,-16.6,-4.2,94.7,80,20,21,34
Indiana Pacers,Post,1610612754,200102,5,174,380,372,49.0,105.1,18.1,3.6,110.8,14,94,94,100
Indiana Pacers,Post,1610612754,200203,6,181,466,393,42.2,89.0,-48.7,-8.1,88.4,33,7,7,7
Indiana Pacers,Post,1610612754,200304,16,491,1202,1077,44.8,98.7,-13.7,-0.9,96.9,41,47,47,42
Indiana Pacers,Post,1610612754,200405,13,375,949,823,43.4,89.0,-101.5,-7.8,88.8,0,14,14,0
Indiana Pacers,Post,1610612754,200506,6,187,422,414,49.1,98.5,-6.3,-1.1,101.1,7,54,54,60
Indiana Pacers,Post,1610612754,201011,5,164,401,357,44.5,93.1,-26.5,-5.3,97.3,74,7,7,41
Indiana Pacers,Post,1610612754,201112,11,371,874,805,46.1,96.8,-26.6,-2.4,96.9,66,67,67,61
Indiana Pacers,Post,1610612754,201213,19,612,1413,1343,47.5,97.8,-30.0,-1.6,96.6,7,47,47,47
Indiana Pacers,Post,1610612754,201314,19,639,1416,1417,50.0,99.2,-11.9,-0.6,101.0,14,67,67,68
Indiana Pacers,Post,1610612754,201516,7,231,524,519,49.5,100.1,0.4,0.1,101.5,0,60,60,68
Indiana Pacers,Post,1610612754,201617,4,162,348,369,53.0,101.4,5.0,1.3,104.3,80,80,80,87
Indiana Pacers,Post,1610612754,201718,7,270,561,608,54.2,104.7,27.0,3.9,101.5,7,87,87,66
Philadelphia 76ers,Post,1610612755,199899,8,277,657,574,43.7,96.0,-23.7,-3.0,96.8,100,20,20,30
Philadelphia 76ers,Post,1610612755,199900,10,342,800,723,45.2,96.3,-27.7,-2.8,94.1,74,34,27,27
Philadelphia 76ers,Post,1610612755,200001,23,783,1859,1654,44.5,96.4,-61.7,-2.7,97.8,67,34,34,42
Philadelphia 76ers,Post,1610612755,200102,5,152,368,324,44.0,94.5,-18.8,-3.8,98.6,0,14,14,52
Philadelphia 76ers,Post,1610612755,200203,12,404,911,853,46.8,98.8,-10.6,-0.9,99.9,14,40,40,61
Philadelphia 76ers,Post,1610612755,200405,5,174,398,381,47.9,98.3,-6.8,-1.4,98.6,54,47,54,49
Philadelphia 76ers,Post,1610612755,200708,6,187,448,385,43.0,88.8,-48.5,-8.1,89.4,19,0,0,2
Philadelphia 76ers,Post,1610612755,200809,6,204,450,443,49.2,99.3,-3.2,-0.5,100.0,27,54,54,52
Philadelphia 76ers,Post,1610612755,201011,5,169,408,370,45.3,94.8,-20.2,-4.0,94.7,87,20,21,14
Philadelphia 76ers,Post,1610612755,201112,13,417,1015,886,43.7,91.8,-79.6,-6.1,94.1,46,7,7,26
Philadelphia 76ers,Post,1610612755,201718,10,387,885,873,49.3,95.2,-43.5,-4.4,94.5,87,14,14,6
Phoenix Suns,Post,1610612756,199697,5,172,413,395,47.8,98.7,-5.3,-1.1,97.3,87,34,34,29
Phoenix Suns,Post,1610612756,199798,4,148,341,313,45.9,95.3,-15.3,-3.8,96.2,100,14,14,13
Phoenix Suns,Post,1610612756,199899,3,104,242,229,47.3,104.0,8.9,3.0,101.2,80,80,80,64
Phoenix Suns,Post,1610612756,199900,9,301,740,644,43.5,92.7,-50.5,-5.6,89.6,94,14,14,19
