Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Dana Barros,Post,344,200102,2,1,3,2,33.3,71.6,-0.8,-0.4,-0.5,-0.3,56.8,0,1,36,14,0
Dana Barros,Post,344,200304,1,0,1,0,0.0,0.0,-0.9,-0.9,-0.8,-0.8,0.0,0,0,21,8,0
Terry Porter,Post,345,199697,3,5,13,13,50.0,103.2,0.4,0.1,1.4,0.5,101.1,19,60,58,48,57
Terry Porter,Post,345,199798,5,27,63,64,50.8,105.5,3.3,0.7,11.5,2.3,100.7,72,68,73,76,57
Terry Porter,Post,345,199899,5,15,32,33,51.6,113.4,3.9,0.8,6.6,1.3,109.1,27,84,79,67,78
Terry Porter,Post,345,199900,4,8,31,20,32.3,68.8,-9.1,-2.3,-4.3,-1.1,57.7,40,2,9,2,1
Terry Porter,Post,345,200001,13,39,86,91,52.9,114.6,11.6,0.9,21.6,1.7,109.8,30,78,76,71,74
Terry Porter,Post,345,200102,9,13,35,31,44.3,95.1,-1.6,-0.2,1.4,0.2,91.1,7,32,43,26,24
Mitchell Butler,Post,348,199697,2,1,2,2,50.0,103.2,0.1,0.0,0.2,0.1,90.4,0,60,55,34,26
Mark Jackson,Post,349,199798,16,53,127,120,47.2,98.1,-2.3,-0.1,14.2,0.9,93.2,44,47,49,48,33
Mark Jackson,Post,349,199899,13,51,103,116,56.3,123.8,22.3,1.7,31.2,2.4,120.2,41,92,92,92,95
Mark Jackson,Post,349,199900,23,69,176,159,45.2,96.3,-6.2,-0.3,21.2,0.9,94.2,39,42,44,39,40
Mark Jackson,Post,349,200001,5,20,40,42,52.5,113.8,5.1,1.0,9.7,1.9,111.4,41,76,81,79,82
Mark Jackson,Post,349,200203,5,15,30,35,58.3,123.1,6.6,1.3,10.1,2.0,124.8,29,96,86,76,95
Mark Jackson,Post,349,200304,5,1,6,2,16.7,36.7,-3.4,-0.7,-2.9,-0.6,43.7,0,0,27,13,0
Darrell Armstrong,Post,353,199697,5,20,42,46,54.8,113.0,5.3,1.1,8.4,1.7,114.8,39,84,81,78,84
Darrell Armstrong,Post,353,199899,4,17,46,43,46.7,102.8,1.2,0.3,5.1,1.3,99.6,74,67,66,66,54
Darrell Armstrong,Post,353,200001,4,17,45,41,45.6,98.7,-0.5,-0.1,4.7,1.2,91.0,64,44,43,48,33
Darrell Armstrong,Post,353,200102,4,20,42,44,52.4,112.5,4.9,1.2,8.5,2.1,110.5,56,87,88,85,83
Darrell Armstrong,Post,353,200203,7,20,44,46,52.3,110.3,4.3,0.6,9.5,1.4,115.5,34,76,70,62,85
Darrell Armstrong,Post,353,200304,7,8,34,21,30.9,68.1,-9.9,-1.4,-6.9,-1.0,66.3,20,3,12,6,2
Darrell Armstrong,Post,353,200405,6,8,16,18,56.3,115.5,2.4,0.4,4.2,0.7,119.6,1,85,65,44,88
Darrell Armstrong,Post,353,200506,9,3,15,6,20.0,40.2,-8.9,-1.0,-5.9,-0.7,38.0,0,0,22,6,0
Chris Morris,Post,356,199697,15,20,50,48,48.0,99.1,-0.5,0.0,3.2,0.2,94.9,7,47,50,38,39
Chris Morris,Post,356,199798,17,28,69,63,45.7,94.8,-3.4,-0.2,5.5,0.3,88.6,8,39,46,31,20
Chris Morris,Post,356,199899,1,2,2,5,125.0,274.8,3.2,3.2,3.4,3.4,280.6,0,100,100,96,100
Anfernee Hardaway,Post,358,199697,5,52,111,115,51.8,106.9,7.4,1.5,15.6,3.1,107.2,100,70,87,93,71
Anfernee Hardaway,Post,358,199899,4,20,57,46,40.4,88.7,-5.8,-1.5,-0.9,-0.2,79.7,81,28,9,21,14
Anfernee Hardaway,Post,358,199900,9,67,145,139,47.9,102.2,2.9,0.3,25.5,2.8,104.1,88,68,74,85,70
Anfernee Hardaway,Post,358,200203,6,27,70,63,45.0,94.9,-3.4,-0.6,5.0,0.8,96.3,72,40,34,48,46
