Name,Season Type,NBA ID,Year(s),Games,FG,FGA,FG Points,EFG%,EFG+,PAA,PAA/Game,PAR,PAR/Game,ShotSkill+,Volume Percentile,EFG Percentile,PAA/Game Percentile,PAR/Game Percentile,ShotSkill Percentile
Devin Booker,Post,1626164,20152022,32,291,649,654,50.4,94.6,-37.7,-1.2,58.1,1.8,102.2,92,35,23,23,61
Cameron Payne,Post,1626166,20152022,44,112,295,257,43.6,82.1,-55.4,-1.3,-12.0,-0.3,81.8,32,19,22,22,20
Myles Turner,Post,1626167,20152022,26,124,248,263,53.0,103.0,8.3,0.3,42.5,1.6,104.2,56,53,51,51,57
Trey Lyles,Post,1626168,20152022,3,3,10,7,35.0,66.9,-3.4,-1.1,-2.1,-0.7,66.8,4,25,34,34,32
Stanley Johnson,Post,1626169,20152022,7,17,34,42,61.8,122.2,7.5,1.1,12.8,1.8,116.0,17,83,79,79,77
Jerian Grant,Post,1626170,20152020,8,8,33,17,25.8,49.6,-17.2,-2.2,-13.0,-1.6,47.5,11,0,7,7,0
Bobby Portis,Post,1626171,20152022,38,135,299,308,51.5,97.0,-9.6,-0.3,33.3,0.9,98.3,43,43,42,42,47
Kevon Looney,Post,1626172,20152022,57,157,246,314,63.8,123.3,59.2,1.0,90.0,1.6,112.2,11,87,79,79,72
Rashad Vaughn,Post,1626173,20152018,2,2,4,6,75.0,143.4,1.8,0.9,2.3,1.2,137.1,0,100,81,81,100
Jordan Mickey,Post,1626175,20152018,4,4,9,8,44.4,87.4,-1.2,-0.3,0.0,0.0,74.5,0,27,42,42,11
Rondae Hollis-Jefferson,Post,1626178,20152021,11,24,48,49,51.0,98.9,-0.5,0.0,6.2,0.6,91.7,19,43,47,47,36
Terry Rozier,Post,1626179,20152022,49,169,430,415,48.3,93.4,-28.9,-0.6,21.7,0.4,93.3,44,38,36,36,38
Norman Powell,Post,1626181,20152022,69,211,472,501,53.1,102.1,11.2,0.2,79.8,1.2,95.6,32,59,62,62,46
Jarell Martin,Post,1626185,20152019,6,8,20,18,45.0,89.1,-2.2,-0.4,0.5,0.1,81.9,6,40,45,45,28
Michael Frazier II,Post,1626187,20192020,2,1,4,3,37.5,70.2,-1.3,-0.6,-0.5,-0.3,60.8,0,2,36,36,1
Quinn Cook,Post,1626188,20162021,34,63,147,146,49.7,96.5,-5.2,-0.2,12.9,0.4,98.4,11,42,45,45,51
Pat Connaughton,Post,1626192,20152022,68,160,348,409,58.8,111.8,43.2,0.6,92.9,1.4,105.2,17,78,73,73,71
Willy Hernangomez,Post,1626195,20162022,1,1,4,2,25.0,47.2,-2.2,-2.2,-1.7,-1.7,37.3,9,0,9,9,0
Josh Richardson,Post,1626196,20152022,30,79,213,194,45.5,88.7,-25.2,-0.8,6.3,0.2,89.4,33,24,27,27,29
Joe Young,Post,1626202,20152018,4,3,8,7,43.8,88.4,-0.9,-0.2,0.2,0.1,100.0,0,26,47,47,53
Treveon Graham,Post,1626203,20162020,5,2,10,4,20.0,39.4,-6.2,-1.2,-4.9,-1.0,42.3,0,0,19,19,0
Larry Nance Jr.,Post,1626204,20152022,24,63,99,128,64.7,123.8,24.5,1.0,36.5,1.5,110.2,11,88,78,78,76
Mario Hezonja,Post,1626209,20152020,5,9,22,20,45.5,85.1,-3.5,-0.7,0.5,0.1,91.4,12,15,34,34,29
Royce O'Neale,Post,1626220,20172022,39,119,253,301,59.5,113.2,35.3,0.9,70.6,1.8,106.1,30,77,74,74,69
Cedi Osman,Post,1626224,20172022,7,6,18,13,36.1,69.7,-5.6,-0.8,-3.7,-0.5,63.9,1,2,27,27,1
Luis Montero,Post,1626242,20152018,3,3,3,8,133.3,269.5,5.0,1.7,5.5,1.8,270.5,0,100,90,90,100
Cristiano Felicio,Post,1626245,20152021,5,9,15,18,60.0,114.7,2.3,0.5,4.3,0.9,98.4,2,88,71,71,54
Boban Marjanovic,Post,1626246,20152022,25,70,125,140,56.0,107.7,9.6,0.4,28.2,1.1,107.5,19,66,60,60,62
Axel Toupane,Post,1626253,20152021,2,2,4,5,62.5,117.0,0.7,0.4,1.3,0.7,122.1,0,91,64,64,98
Salah Mejri,Post,1626257,20152019,3,7,10,14,70.0,141.5,4.1,1.4,5.5,1.8,119.8,4,99,86,86,93
Malcolm Miller,Post,1626259,20172020,5,3,11,8,36.4,70.3,-3.3,-0.7,-1.8,-0.4,64.2,1,11,36,36,10
Malcolm Delaney,Post,1627098,20162018,1,3,3,7,116.7,223.1,3.9,3.9,4.3,4.3,249.9,2,100,100,100,100
Briante Weber,Post,1627362,20152018,1,0,1,0,0.0,0.0,-1.0,-1.0,-0.8,-0.8,0.0,0,0,26,26,0
Ben Simmons,Post,1627732,20172021,34,192,336,384,57.1,110.1,35.2,1.0,78.1,2.3,99.6,58,72,69,69,53
Domantas Sabonis,Post,1627734,20162022,13,48,94,98,52.1,101.2,1.2,0.1,12.1,0.9,103.2,40,61,62,62,67
Wade Baldwin IV,Post,1627735,20162019,3,1,5,3,30.0,57.9,-2.2,-0.7,-1.6,-0.5,57.3,0,2,32,32,3
Malik Beasley,Post,1627736,20162022,19,55,137,137,50.0,97.1,-4.1,-0.2,13.7,0.7,94.5,35,45,45,45,41
Marquese Chriss,Post,1627737,20162022,4,4,8,9,56.3,106.2,0.5,0.1,1.6,0.4,90.8,0,64,54,54,29
Deyonta Davis,Post,1627738,20162019,2,3,5,6,60.0,114.7,0.8,0.4,1.4,0.7,98.4,0,88,69,69,54
Kris Dunn,Post,1627739,20162022,4,1,5,2,20.0,37.4,-3.3,-0.8,-2.6,-0.6,39.7,0,0,26,26,0
Brandon Ingram,Post,1627742,20162022,6,56,118,123,52.1,98.4,-2.0,-0.3,14.2,2.4,103.7,95,46,42,42,62
Damian Jones,Post,1627745,20162022,6,5,10,10,50.0,96.4,-0.4,-0.1,0.8,0.1,90.7,0,25,41,41,19
Skal Labissiere,Post,1627746,20162020,3,1,4,2,25.0,49.2,-2.1,-0.7,-1.6,-0.5,40.4,0,0,33,33,0
Caris LeVert,Post,1627747,20162022,9,63,146,147,50.3,97.0,-5.1,-0.6,17.4,1.9,100.2,87,45,49,49,53
Thon Maker,Post,1627748,20162021,16,30,85,68,40.0,77.3,-19.8,-1.2,-9.4,-0.6,73.3,19,16,24,24,12
Dejounte Murray,Post,1627749,20162022,16,37,92,78,42.4,81.4,-17.9,-1.1,-6.6,-0.4,81.7,26,19,26,26,18
Jamal Murray,Post,1627750,20162021,33,293,620,676,54.5,104.0,27.1,0.8,125.6,3.8,108.5,94,62,65,65,75
Jakob Poeltl,Post,1627751,20162022,20,45,78,90,57.7,112.4,9.8,0.5,19.2,1.0,106.6,7,73,67,67,62
Taurean Prince,Post,1627752,20162022,11,39,79,86,54.4,103.7,3.0,0.3,13.5,1.2,98.5,38,61,65,65,54
Zhou Qi,Post,1627753,20172019,1,1,1,2,100.0,193.1,1.0,1.0,1.1,1.1,261.1,0,100,77,77,100
Denzel Valentine,Post,1627756,20162022,2,2,6,5,41.7,79.7,-1.3,-0.6,-0.5,-0.2,72.8,2,6,32,32,3
Jaylen Brown,Post,1627759,20162022,80,510,1071,1179,55.0,104.7,53.0,0.7,203.7,2.5,102.2,69,63,71,71,60
Joel Bolomboy,Post,1627762,20162018,2,2,3,4,66.7,127.5,0.9,0.4,1.3,0.6,109.3,0,96,69,69,79
Malcolm Brogdon,Post,1627763,20162022,24,107,253,252,49.8,95.9,-11.1,-0.5,23.7,1.0,92.7,61,40,40,40,36
Cheick Diallo,Post,1627767,20162022,5,5,12,10,41.7,80.5,-2.4,-0.5,-1.1,-0.2,79.7,0,8,38,38,7
Jake Layman,Post,1627774,20162022,8,6,14,13,46.4,89.6,-1.4,-0.2,0.3,0.0,84.0,1,48,54,54,44
Patrick McCaw,Post,1627775,20162021,17,23,55,55,50.0,95.8,-2.4,-0.1,4.7,0.3,92.1,6,45,50,50,39
Georges Niang,Post,1627777,20162022,34,62,153,165,53.9,101.9,3.2,0.1,26.4,0.8,100.1,12,58,57,57,56
Gary Payton II,Post,1627780,20162022,8,19,27,45,83.3,157.3,16.4,2.0,20.1,2.5,149.7,5,100,93,93,100
Wayne Selden,Post,1627782,20162022,6,9,26,20,38.5,73.5,-7.2,-1.2,-3.8,-0.6,74.2,13,3,21,21,4
Pascal Siakam,Post,1627783,20162022,52,328,715,702,49.1,94.9,-39.3,-0.8,61.6,1.2,95.4,70,41,37,37,45
Troy Williams,Post,1627786,20162019,5,0,9,0,0.0,0.0,-9.4,-1.9,-8.2,-1.6,0.0,0,0,9,9,0
Kyle Wiltjer,Post,1627787,20162017,1,1,1,3,150.0,286.8,2.0,2.0,2.1,2.1,272.8,0,100,94,94,100
Furkan Korkmaz,Post,1627788,20172022,24,48,122,118,48.4,91.4,-11.1,-0.5,6.7,0.3,90.9,17,37,41,41,39
Timothe Luwawu-Cabarrot,Post,1627789,20162022,10,25,73,66,45.2,84.7,-11.9,-1.2,0.8,0.1,81.8,32,16,13,13,13
Ante Zizic,Post,1627790,20172020,6,5,10,10,50.0,96.6,-0.4,-0.1,0.7,0.1,87.0,0,40,50,50,19
Yogi Ferrell,Post,1627812,20162021,4,2,5,4,40.0,74.9,-1.3,-0.3,-0.6,-0.1,94.1,0,8,39,39,33
Damion Lee,Post,1627814,20172022,13,13,33,30,45.5,85.8,-5.0,-0.4,-0.4,0.0,83.0,1,17,41,41,11
Sheldon Mac,Post,1627815,20162017,4,5,9,12,66.7,127.5,2.6,0.6,3.8,0.9,127.5,0,96,74,74,98
Tim Quarterman,Post,1627817,20162018,2,1,2,3,75.0,143.4,0.9,0.5,1.2,0.6,137.9,0,100,71,71,100
Isaiah Taylor,Post,1627819,20162018,1,0,2,0,0.0,0.0,-2.1,-2.1,-1.8,-1.8,0.0,0,0,7,7,0
Tyrone Wallace,Post,1627820,20172022,2,1,4,2,25.0,49.2,-2.1,-1.0,-1.6,-0.8,40.4,0,0,27,27,0
Juancho Hernangomez,Post,1627823,20162022,8,6,21,17,40.5,77.0,-5.1,-0.6,-2.3,-0.3,72.6,2,11,31,31,6
Guerschon Yabusele,Post,1627824,20172019,8,3,13,6,23.1,45.1,-7.4,-0.9,-5.9,-0.7,36.9,0,14,30,30,5
Ivica Zubac,Post,1627826,20162022,31,87,153,174,56.9,107.1,11.5,0.4,36.6,1.2,96.3,15,71,64,64,44
Dorian Finney-Smith,Post,1627827,20162022,31,123,273,319,58.4,109.9,28.8,0.9,69.4,2.2,104.5,49,72,75,75,61
Fred VanVleet,Post,1627832,20162022,50,179,458,461,50.3,96.4,-17.5,-0.4,50.8,1.0,98.4,45,42,38,38,51
Paul Zipser,Post,1627835,20162018,6,15,33,36,54.6,104.3,1.5,0.2,5.8,1.0,103.9,24,67,64,64,69
Abdel Nader,Post,1627846,20172022,11,9,30,19,31.7,60.6,-12.5,-1.1,-8.4,-0.8,60.2,4,4,20,20,2
Daniel Ochefu,Post,1627849,20162017,1,0,1,0,0.0,0.0,-1.0,-1.0,-0.9,-0.9,0.0,0,0,23,23,0
Bryn Forbes,Post,1627854,20162022,40,90,221,236,53.4,101.8,4.0,0.1,34.7,0.9,106.0,21,62,61,61,70
Danuel House Jr.,Post,1627863,20162022,22,57,144,143,49.7,94.1,-8.6,-0.4,14.4,0.7,98.3,27,39,48,48,53
Marcus Georges-Hunt,Post,1627875,20162018,1,0,1,0,0.0,0.0,-1.0,-1.0,-0.9,-0.9,0.0,0,0,24,24,0
Derrick Jones Jr.,Post,1627884,20162022,15,17,39,41,52.6,98.8,-0.5,0.0,5.7,0.4,87.0,2,49,48,48,27
